year,rank,title,film,singers
1953,1,Ye Zindagi Usi Ki Hai,Anarkali,Lata Mangeshkar
1953,2,Shaam-E-Gham Ki Kasam,Footpath,Talat Mahmood
1953,3,Mohabbat Ki Daastaan Aaj Suno,Mayur Pankh,Lata Mangeshkar
1953,4,Ae Gam-E-Dil Kya Karun,Thokar,Talat Mahmood
1953,5,Yaad Kiya Dil Ne Kahan Ho Tum,Patita,Lata Mangeshkar; Hemant Kumar
1953,6,Zindagi Denewale Sun,Dil-E-Nadan,Talat Mahmood
1953,7,Aaja Re Ab Mera Dil Pukara,Aah,Lata Mangeshkar; Mukesh
1953,8,Ai Pyar Teri Duniya Se Ham,Jhanjhar,Lata Mangeshkar
1953,9,Dharti Kahe Pukar Ke,Do Bigha Zamin,Lata Mangeshkar; Manna Dey
1953,10,Kaare Badra Tu Na Ja,Shikast,Lata Mangeshkar
1953,11,Aa Mohabbat Ki Basti Basayenge Hum,Fareb,Kishore Kumar; Lata Mangeshkar
1953,12,Kahe Jaadu Kiya,Naghma,Shamshad Begum
1954,1,Jayen To Jayen Kahan,Taxi Driver,Talat Mahmood
1954,2,Man Dole Mera Tan Dole,Nagin,Lata Mangeshkar
1954,3,Yeh Lo Main Hari Piya,Aar Paar,Geeta Dutt
1954,4,Insaaf Ka Mandir Hai Yeh,Amar,Mohammed Rafi
1954,5,Rahi Matwale,Waris,Talat Mahmood; Suraiya
1954,6,Chanda Mama Door Ke,Vachan,Asha Bhosle
1954,7,Man Ki Been Matwari Baaje,Shabab,Mohammed Rafi; Lata Mangeshkar
1954,8,Kaise Koi Jiye,Baadbaan,Geeta Dutt
1954,9,Chhota Sa Ghar Hoga,Naukri,Kishore Kumar; Usha Mangeshkar
1954,10,Na Yeh Chand Hoga,Shart,Hemant Kumar
1955,1,Mera Joota Hai Japani,Shree 420,Mukesh
1955,2,Mera Salaam Le Ja,Uran Khatola,Lata Mangeshkar
1955,3,Man Dole Mera Tan Dole,Nagin,Lata Mangeshkar
1955,4,O Door Ke Musafir,Uran Khatola,Mohammed Rafi
1955,5,Ichak Dana Bichak Dana,Shree 420,Mukesh; Lata Mangeshkar
1955,6,Dekh Tere Sansar Ki Halat,Nastik,Kavi Pradeep
1955,7,Mera Dil Yeh Pukare Aaja,Nagin,Lata Mangeshkar
1955,8,De Di Hame Azadi,Jagriti,Asha Bhosle
1955,9,Jeevan Ke Safar Mein Rahi,Munimji,Kishore Kumar
1955,10,Chalo Chalen Maa,Jagriti,Asha Bhosle
1955,11,More Saiyan Ji Utrenge Paar,Uran Khatola,Lata Mangeshkar
1955,12,Hai Bas Ke Har Ek Unke Ishaare,Mirza Ghalib,Mohammed Rafi
1955,16,Udhar Tum Haseen Ho,Mr. & Mrs. 55,Mohammed Rafi; Geeta Dutt
1956,1,Ae Dil Hai Mushkil Jeena Yahan,C.I.D.,Mohammed Rafi; Geeta Dutt
1956,2,Nain So Nain Nahi Milao,Jhanak Jhanak Payal Baaje,Hemant Kumar; Lata Mangeshkar
1956,3,Tu Pyar Ka Sagar Hai,Seema,Manna Dey
1956,4,Nirbal Se Ladai Balwan Ki,Toofan Aur Diya,Manna Dey
1956,5,Ae Dil Mujhe Bata De,Bhai Bhai,Geeta Dutt
1956,6,Leke Pehla Pehla Pyar,C.I.D.,Mohammed Rafi; Shamshad Begum; Asha Bhosle
1956,7,Halke Halke Chalo Sanwre,Tangewali,Hemant Kumar; Lata Mangeshkar
1956,8,Kaise Aaoon Jamuna Ke Teer,Devta,Lata Mangeshkar
1956,9,Aankhon Hi Aankhon Mein,C.I.D.,Mohammed Rafi; Geeta Dutt
1956,10,Piya Piya Piya Mora Jiya Pukare,Baap Re Baap,Kishore Kumar; Asha Bhosle
1956,12,Dil Dil Se Mila Kar Dekho,Mem Sahib,Kishore Kumar
1956,15,Zindagi Khwab Hai,Jagte Raho,Mukesh
1956,16,Aaja Sanam Madhur Chandni,Chori Chori,Manna Dey; Lata Mangeshkar
1957,1,Zara Samne To Aao Chhaliye,Janam Janam Ke Phere,Mohammed Rafi; Lata Mangeshkar
1957,2,Sar Jo Tera Chakraye,Pyaasa,Mohammed Rafi
1957,4,Panchhi Banu Udti Phiroon,Chori Chori,Lata Mangeshkar
1957,5,Aankhon Mein Kya Ji,Nau Do Gyarah,Kishore Kumar; Asha Bhosle
1957,6,Chhod Do Aanchal,Paying Guest,Kishore Kumar; Asha Bhosle
1957,7,O Raat Ke Musafir,Miss Mary,Mohammed Rafi; Lata Mangeshkar
1957,9,Mana Janab Ne Pukara Nahin,Paying Guest,Kishore Kumar
1957,13,Nain Mile Chain Kahan,Basant Bahar,Manna Dey; Lata Mangeshkar
1957,14,Eena Meena Deeka,Aasha,Asha Bhosle
1957,15,Maang Ke Saath Tumhara,Naya Daur,Mohammed Rafi; Asha Bhosle
1957,16,Main Bambai Ka Babu,Naya Daur,Mohammed Rafi
1957,17,Nakhrewaali,New Delhi,Kishore Kumar
1957,18,Chhup Gaya Koi Re,Champakali,Lata Mangeshkar
1957,19,Uden Jab Jab Zulfen Teri,Naya Daur,Mohammed Rafi; Asha Bhosle
1957,21,Badi Der Bhayi,Basant Bahar,Mohammed Rafi
1957,22,Thandi Thandi Hawa,Johnny Walker,Asha Bhosle; Geeta Dutt
1957,23,Haye Haye Yeh Nigahen,Paying Guest,Kishore Kumar; Asha Bhosle
1957,24,Ae Meri Topi Palat Ke Aa,Funtoosh,Kishore Kumar
1957,25,Yeh Raat Bheegi Bheegi,Chori Chori,Manna Dey; Lata Mangeshkar
1957,26,Kali Ke Roop Mein,Nau Do Gyarah,Mohammed Rafi; Asha Bhosle
1957,29,Yeh Mard Bade Dil Sard Bade,Miss Mary,Lata Mangeshkar
1957,30,Jane Kya Toone Kahi,Pyaasa,Geeta Dutt
1957,31,Choon Choon Karti Aayi Chidiya,Ab Dilli Door Nahin,Mohammed Rafi
1957,32,Din Albele Pyar Ka Mausam,Begunah,Manna Dey; Lata Mangeshkar
1957,33,Reshmi Salwar Kurta Jaali Ka,Naya Daur,Asha Bhosle; Shamshad Begum
1957,34,Jaago Mohan Pyare,Jagte Raho,Lata Mangeshkar
1958,1,Hai Apna Dil To Awara,Solva Saal,Hemant Kumar
1958,3,Bol Ri Kathputli,Kathputli,Lata Mangeshkar
1958,4,Meri Jaan Meri Jaan,Yahudi,Lata Mangeshkar
1958,5,Suhana Safar Aur Yeh Mausam,Madhumati,Mukesh
1958,6,Tera Teer O Bepeer,Shararat,Lata Mangeshkar
1958,7,Yeh Mera Deewanapan Hai,Yahudi,Mukesh
1958,8,Chal Ud Ja Re Panchhi,Bhabhi,Mohammed Rafi
1958,9,Chali Chali Re Patang,Bhabhi,Mohammed Rafi; Lata Mangeshkar
1958,10,Yoon To Hamne Laakh Haseen,Tumsa Nahin Dekha,Mohammed Rafi
1958,12,Duniya Mein Hum Aaye Hain To,Mother India,Lata Mangeshkar; Meena Mangeshkar; Usha Mangeshkar
1958,13,Nagri Nagri Dware Dware,Mother India,Lata Mangeshkar
1958,14,Sar Par Topi Laal,Tumsa Nahin Dekha,Mohammed Rafi; Asha Bhosle
1958,15,Eent Ki Dukki Paan Ka Ikka,Howrah Bridge,Mohammed Rafi
1958,16,Bakkad Bum Bum Baaje Damroo,Kathputli,Lata Mangeshkar
1958,17,Pyar Par Bas To Nahin Hai,Sone Ki Chidiya,Talat Mahmood; Asha Bhosle
1958,18,Ek Pardesi Mera Dil Le Gaya,Phagun,Mohammed Rafi; Asha Bhosle
1958,20,Ae Malik Tere Bande Hum,Do Aankhen Barah Haath,Lata Mangeshkar
1958,23,Tim Tim Tim Taron Ke Deep Jale,Mausi,Talat Mahmood; Lata Mangeshkar
1958,27,Sari Sari Raat Teri Yaad Sataye,Aji Bas Shukriya,Lata Mangeshkar
1958,29,Aaja Re Pardesi,Madhumati,Lata Mangeshkar
1958,31,Manzil Wohi Hai Pyar Ki,Kathputli,Subir Sen
1958,32,Hum Matwale Naujawan,Shararat,Kishore Kumar
1959,1,Haal Kaisa Hai Janab Ka,Chalti Ka Naam Gaadi,Kishore Kumar; Asha Bhosle
1959,2,Mujhko Yaron Maaf Karna,Main Nashe Mein Hoon,Mukesh
1959,3,Sab Kuchh Seekha Hamne,Anari,Mukesh
1959,4,Woh Chand Khila,Anari,Mukesh; Lata Mangeshkar
1959,5,Hum Bekhudi Mein Tumko,Kala Pani,Mohammed Rafi
1959,6,Aa Laut Ke Aaja Mere Meet,Rani Roopmati,Mukesh
1959,7,Jhoomta Mausam Mast Maheena,Ujala,Manna Dey; Lata Mangeshkar
1959,8,Main Rangeela Pyar Ka Rahi,Chhoti Bahen,Subir Sen; Lata Mangeshkar
1959,10,Ruk Ja Ruk Ja O Janewali,Kanhaiya,Mukesh
1959,12,Ek Ladki Bheegi Bhagi Si,Chalti Ka Naam Gaadi,Kishore Kumar
1959,13,Dekh Hame Awaz Na Dena,Amar Deep,Mohammed Rafi; Asha Bhosle
1959,15,Tim Tim Karte Tare,Chirag Kahan Roshni Kahan,Lata Mangeshkar
1959,17,Jalte Hain Jiske Liye,Sujata,Talat Mahmood
1959,18,Mujhe Tumse Kuchh Bhi Na,Kanhaiya,Mukesh
1959,19,Tera Jalwa Jisne Dekha,Ujala,Lata Mangeshkar
1959,21,Chand Sa Mukhda,Insan Jag Utha,Mohammed Rafi; Asha Bhosle
1959,22,Ban Ke Panchhi Gayen,Anari,Lata Mangeshkar
1959,24,Bhaiya Meri Rakhi Ke Bandhan,Chhoti Bahen,Lata Mangeshkar
1959,25,Kehdo Koi Na Kare Yahan Pyar,Goonj Uthi Shehnai,Mohammed Rafi
1959,26,Babu Samjho Ishare,Chalti Ka Naam Gaadi,Kishore Kumar; Ashok Kumar; Manna Dey
1959,28,Dil Deke Dekho,Dil Deke Dekho,Mohammed Rafi; Asha Bhosle
1959,29,Chad Gayo Papi Bichua,Madhumati,Manna Dey; Lata Mangeshkar
1959,31,Bachpan Ke Din Bhi Kya Din The,Sujata,Geeta Dutt; Asha Bhosle
1959,32,Ho Mora Nadan Balma,Ujala,Lata Mangeshkar
1960,1,Zindagi Bhar Nahin Bhoolegi,Barsaat Ki Raat,Mohammed Rafi
1960,2,Chaudhvin Ka Chand Ho,Chaudhvin Ka Chand,Mohammed Rafi
1960,3,Mujhko Is Raat Ki Tanhai Mein,Dil Bhi Tera Hum Bhi Tere,Mukesh
1960,4,Pyar Kiya To Darna Kya,Mughal-E-Azam,Lata Mangeshkar
1960,5,Chal Ri Sajni,Bambai Ka Babu,Mukesh
1960,6,Dil Apna Aur Preet Parai,Dil Apna Aur Preet Parai,Lata Mangeshkar
1960,7,Tere Pyar Ka Asra,Dhool Ka Phool,Mahendra Kapoor; Lata Mangeshkar
1960,8,Mohabbat Ki Jhooti Kahani,Mughal-E-Azam,Lata Mangeshkar
1960,9,Chhalia Mera Naam,Chhalia,Mukesh
1960,10,Tu Hai Harjai To,Tu Nahin Aur Sahi,Mukesh
1960,11,Tadpaoge Tadpa Lo,Barkha,Lata Mangeshkar
1960,12,Mera Dil Ab Tera O Sajna,Dil Apna Aur Preet Parai,Lata Mangeshkar
1960,13,Dum Dum Diga Diga,Chhalia,Mukesh
1960,14,Aadha Hai Chandrama,Navrang,Mahendra Kapoor; Asha Bhosle
1960,15,Khoya Khoya Chand,Kala Bazar,Mohammed Rafi
